"BuildId","BuildNumber","Version","Status","Branch","PullRequestId","Started","Finished","Created","Updated","JobsCount","ArtifactsCount","NupkgCount"
"7287230","1","0.10.3.1","success","master",,"2017-03-02T23:15:08.8013056Z","2017-03-02T23:27:41.2103344Z","2017-03-02T23:12:47.8281483Z","2017-03-02T23:27:41.2103344Z","1","4","4"
"7292019","2","0.10.3.2","success","master","356","2017-03-03T08:15:47.3215340Z","2017-03-03T08:28:13.2700698Z","2017-03-03T08:12:35.8922426Z","2017-03-03T08:28:13.2700698Z","1","4","4"
"7294849","3","0.10.3.3","success","master",,"2017-03-03T11:39:31.1060227Z","2017-03-03T11:52:07.7979975Z","2017-03-03T11:36:06.6866739Z","2017-03-03T11:52:07.7979975Z","1","4","4"
"7294898","4","0.10.3.4","success","master","379","2017-03-03T11:42:43.6716123Z","2017-03-03T11:55:59.5426276Z","2017-03-03T11:40:10.0782856Z","2017-03-03T11:55:59.5426276Z","1","4","4"
"7295461","5","0.10.3.5","success","master","379","2017-03-03T12:19:24.2420993Z","2017-03-03T12:34:51.1515479Z","2017-03-03T12:16:46.1534282Z","2017-03-03T12:34:51.1515479Z","1","4","4"
"7295881","6","0.10.3.6","success","master","379","2017-03-03T12:47:25.5849928Z","2017-03-03T13:00:57.1166497Z","2017-03-03T12:44:36.2076368Z","2017-03-03T13:00:57.1166497Z","1","4","4"
"7297068","7","0.10.3.7","success","master","379","2017-03-03T13:59:44.5791746Z","2017-03-03T14:13:56.5440633Z","2017-03-03T13:57:11.0251203Z","2017-03-03T14:13:56.5440633Z","1","4","4"
"7297275","8","0.10.3.8","success","master","379","2017-03-03T14:09:39.0910668Z","2017-03-03T14:29:05.1575755Z","2017-03-03T14:07:20.0281104Z","2017-03-03T14:29:05.1575755Z","1","4","4"
"7299315","9","0.10.3.9","failed","master","379","2017-03-03T15:51:12.9032105Z","2017-03-03T15:52:14.4711597Z","2017-03-03T15:48:19.1746043Z","2017-03-03T15:52:14.4711597Z","1",,
"7299762","10","0.10.3.10","success","master","379","2017-03-03T16:11:15.7745799Z","2017-03-03T16:24:27.8503521Z","2017-03-03T16:07:53.4747868Z","2017-03-03T16:24:27.8503521Z","1","4","4"
"7300494","11","0.10.3.11","success","master","379","2017-03-03T16:48:44.3791241Z","2017-03-03T17:02:45.3507956Z","2017-03-03T16:45:50.7746707Z","2017-03-03T17:02:45.3507956Z","1","4","4"
"7300572","12","0.10.3.12","success","master","379","2017-03-03T17:05:20.2781671Z","2017-03-03T17:18:56.1934342Z","2017-03-03T16:50:09.8489070Z","2017-03-03T17:18:56.1934342Z","1","4","4"
"7309255","13","0.10.3.13","success","versioning",,"2017-03-04T07:35:11.6513443Z","2017-03-04T07:47:37.3209161Z","2017-03-04T07:32:27.3448889Z","2017-03-04T07:47:37.3209161Z","1","4","4"
"7309483","14","0.10.3.14","success","master",,"2017-03-04T08:22:39.7512927Z","2017-03-04T08:34:51.3722273Z","2017-03-04T08:19:48.1619281Z","2017-03-04T08:34:51.3722273Z","1","4","4"
"7310196","15","0.10.3.15","success","master",,"2017-03-04T10:34:36.3260226Z","2017-03-04T10:48:20.0804813Z","2017-03-04T10:31:58.1065393Z","2017-03-04T10:48:20.0804813Z","1","4","4"
"7310228","16","0.10.3.16","failed","master","381","2017-03-04T10:39:42.3442466Z","2017-03-04T10:48:52.0160885Z","2017-03-04T10:36:53.5824905Z","2017-03-04T10:48:52.0160885Z","1",,
"7311236","17","0.10.3.17","success","master",,"2017-03-04T13:11:46.5771418Z","2017-03-04T13:25:36.8278925Z","2017-03-04T13:09:16.0373141Z","2017-03-04T13:25:36.8278925Z","1","4","4"
